X,Y,Z
60,30,79
60,30,78
60,30,69
60,30,68
60,30,67
60,30,66
60,30,57
60,30,56
60,30,55
60,30,54
60,30,45
60,30,44
60,30,43
60,30,42
60,30,33
60,30,32
60,30,31
60,30,30
60,30,29
60,30,21
60,30,20
60,30,19
60,30,18
60,30,17
60,31,118
60,31,117
60,31,116
60,31,115
60,31,106
60,31,105
60,31,104
60,31,103
60,31,102
60,31,94
60,31,93
60,31,92
60,31,91
60,31,90
60,31,82
60,31,81
60,31,80
60,31,79
60,31,78
60,31,69
60,31,68
60,31,67
60,31,66
60,31,57
60,31,56
60,31,55
60,31,54
60,31,45
60,31,44
60,31,43
60,31,42
60,31,33
60,31,32
60,31,31
60,31,30
60,31,29
60,31,21
60,31,20
60,31,19
60,31,18
60,31,17
60,32,118
60,32,117
60,32,116
60,32,115
60,32,106
60,32,105
60,32,104
60,32,103
60,32,102
60,32,94
60,32,93
60,32,92
60,32,91
60,32,90
60,32,82
60,32,81
60,32,80
60,32,79
60,32,78
60,32,69
60,32,68
60,32,67
60,32,66
60,32,57
60,32,56
60,32,55
60,32,54
60,32,45
60,32,44
60,32,43
60,32,42
60,32,33
60,32,32
60,32,31
60,32,30
60,32,21
60,32,20
60,32,19
60,32,18
60,32,17
60,33,118
60,33,117
60,33,116
60,33,115
60,33,106
60,33,105
60,33,104
60,33,103
60,33,94
60,33,93
60,33,92
60,33,91
60,33,90
60,33,82
60,33,81
60,33,80
60,33,79
60,33,78
60,33,69
60,33,68
60,33,67
60,33,66
60,33,57
60,33,56
60,33,55
60,33,54
60,33,45
60,33,44
60,33,43
60,33,42
60,33,33
60,33,32
60,33,31
60,33,30
60,33,21
60,33,20
60,33,19
60,33,18
60,33,17
60,34,118
60,34,117
60,34,116
60,34,115
60,34,106
60,34,105
60,34,104
60,34,103
60,34,94
60,34,93
60,34,92
60,34,91
60,34,82
60,34,81
60,34,80
60,34,79
60,34,78
60,34,69
60,34,68
60,34,67
60,34,66
60,34,57
60,34,56
60,34,55
60,34,54
60,34,45
60,34,44
60,34,43
60,34,42
60,34,33
60,34,32
60,34,31
60,34,30
60,34,21
60,34,20
60,34,19
